date_key,full_date,day_of_week,day_name,is_weekend,week_of_year,month_number,month_name,quarter,year,fiscal_year,fiscal_quarter,season,is_holiday,holiday_name
20210424,2021-04-24,6,Saturday,True,16,4,April,2,2021,2021,FQ1,Spring,False,
20210425,2021-04-25,7,Sunday,True,16,4,April,2,2021,2021,FQ1,Spring,False,
20210426,2021-04-26,1,Monday,False,17,4,April,2,2021,2021,FQ1,Spring,False,
20210427,2021-04-27,2,Tuesday,False,17,4,April,2,2021,2021,FQ1,Spring,False,
20210428,2021-04-28,3,Wednesday,False,17,4,April,2,2021,2021,FQ1,Spring,False,
20210429,2021-04-29,4,Thursday,False,17,4,April,2,2021,2021,FQ1,Spring,False,
20210430,2021-04-30,5,Friday,False,17,4,April,2,2021,2021,FQ1,Spring,False,
20210501,2021-05-01,6,Saturday,True,17,5,May,2,2021,2021,FQ2,Spring,False,
20210502,2021-05-02,7,Sunday,True,17,5,May,2,2021,2021,FQ2,Spring,False,
20210503,2021-05-03,1,Monday,False,18,5,May,2,2021,2021,FQ2,Spring,False,
20210504,2021-05-04,2,Tuesday,False,18,5,May,2,2021,2021,FQ2,Spring,False,
20210505,2021-05-05,3,Wednesday,False,18,5,May,2,2021,2021,FQ2,Spring,False,
20210506,2021-05-06,4,Thursday,False,18,5,May,2,2021,2021,FQ2,Spring,False,
20210507,2021-05-07,5,Friday,False,18,5,May,2,2021,2021,FQ2,Spring,False,
20210508,2021-05-08,6,Saturday,True,18,5,May,2,2021,2021,FQ2,Spring,False,
20210509,2021-05-09,7,Sunday,True,18,5,May,2,2021,2021,FQ2,Spring,False,
20210510,2021-05-10,1,Monday,False,19,5,May,2,2021,2021,FQ2,Spring,False,
20210511,2021-05-11,2,Tuesday,False,19,5,May,2,2021,2021,FQ2,Spring,False,
20210512,2021-05-12,3,Wednesday,False,19,5,May,2,2021,2021,FQ2,Spring,False,
20210513,2021-05-13,4,Thursday,False,19,5,May,2,2021,2021,FQ2,Spring,False,
20210514,2021-05-14,5,Friday,False,19,5,May,2,2021,2021,FQ2,Spring,False,
20210515,2021-05-15,6,Saturday,True,19,5,May,2,2021,2021,FQ2,Spring,False,
20210516,2021-05-16,7,Sunday,True,19,5,May,2,2021,2021,FQ2,Spring,False,
20210517,2021-05-17,1,Monday,False,20,5,May,2,2021,2021,FQ2,Spring,False,
20210518,2021-05-18,2,Tuesday,False,20,5,May,2,2021,2021,FQ2,Spring,False,
20210519,2021-05-19,3,Wednesday,False,20,5,May,2,2021,2021,FQ2,Spring,False,
20210520,2021-05-20,4,Thursday,False,20,5,May,2,2021,2021,FQ2,Spring,False,
20210521,2021-05-21,5,Friday,False,20,5,May,2,2021,2021,FQ2,Spring,False,
20210522,2021-05-22,6,Saturday,True,20,5,May,2,2021,2021,FQ2,Spring,False,
20210523,2021-05-23,7,Sunday,True,20,5,May,2,2021,2021,FQ2,Spring,False,
20210524,2021-05-24,1,Monday,False,21,5,May,2,2021,2021,FQ2,Spring,False,
20210525,2021-05-25,2,Tuesday,False,21,5,May,2,2021,2021,FQ2,Spring,False,
20210526,2021-05-26,3,Wednesday,False,21,5,May,2,2021,2021,FQ2,Spring,False,
20210527,2021-05-27,4,Thursday,False,21,5,May,2,2021,2021,FQ2,Spring,False,
20210528,2021-05-28,5,Friday,False,21,5,May,2,2021,2021,FQ2,Spring,False,
20210529,2021-05-29,6,Saturday,True,21,5,May,2,2021,2021,FQ2,Spring,False,
20210530,2021-05-30,7,Sunday,True,21,5,May,2,2021,2021,FQ2,Spring,False,
20210531,2021-05-31,1,Monday,False,22,5,May,2,2021,2021,FQ2,Spring,False,
20210601,2021-06-01,2,Tuesday,False,22,6,June,2,2021,2021,FQ2,Summer,False,
20210602,2021-06-02,3,Wednesday,False,22,6,June,2,2021,2021,FQ2,Summer,False,
20210603,2021-06-03,4,Thursday,False,22,6,June,2,2021,2021,FQ2,Summer,False,
20210604,2021-06-04,5,Friday,False,22,6,June,2,2021,2021,FQ2,Summer,False,
20210605,2021-06-05,6,Saturday,True,22,6,June,2,2021,2021,FQ2,Summer,False,
20210606,2021-06-06,7,Sunday,True,22,6,June,2,2021,2021,FQ2,Summer,False,
20210607,2021-06-07,1,Monday,False,23,6,June,2,2021,2021,FQ2,Summer,False,
20210608,2021-06-08,2,Tuesday,False,23,6,June,2,2021,2021,FQ2,Summer,False,
20210609,2021-06-09,3,Wednesday,False,23,6,June,2,2021,2021,FQ2,Summer,False,
20210610,2021-06-10,4,Thursday,False,23,6,June,2,2021,2021,FQ2,Summer,False,
20210611,2021-06-11,5,Friday,False,23,6,June,2,2021,2021,FQ2,Summer,False,
20210612,2021-06-12,6,Saturday,True,23,6,June,2,2021,2021,FQ2,Summer,False,
20210613,2021-06-13,7,Sunday,True,23,6,June,2,2021,2021,FQ2,Summer,False,
20210614,2021-06-14,1,Monday,False,24,6,June,2,2021,2021,FQ2,Summer,False,
20210615,2021-06-15,2,Tuesday,False,24,6,June,2,2021,2021,FQ2,Summer,False,
20210616,2021-06-16,3,Wednesday,False,24,6,June,2,2021,2021,FQ2,Summer,False,
20210617,2021-06-17,4,Thursday,False,24,6,June,2,2021,2021,FQ2,Summer,False,
20210618,2021-06-18,5,Friday,False,24,6,June,2,2021,2021,FQ2,Summer,False,
20210619,2021-06-19,6,Saturday,True,24,6,June,2,2021,2021,FQ2,Summer,False,
20210620,2021-06-20,7,Sunday,True,24,6,June,2,2021,2021,FQ2,Summer,False,
20210621,2021-06-21,1,Monday,False,25,6,June,2,2021,2021,FQ2,Summer,False,
20210622,2021-06-22,2,Tuesday,False,25,6,June,2,2021,2021,FQ2,Summer,False,
20210623,2021-06-23,3,Wednesday,False,25,6,June,2,2021,2021,FQ2,Summer,False,
20210624,2021-06-24,4,Thursday,False,25,6,June,2,2021,2021,FQ2,Summer,False,
20210625,2021-06-25,5,Friday,False,25,6,June,2,2021,2021,FQ2,Summer,False,
20210626,2021-06-26,6,Saturday,True,25,6,June,2,2021,2021,FQ2,Summer,False,
20210627,2021-06-27,7,Sunday,True,25,6,June,2,2021,2021,FQ2,Summer,False,
20210628,2021-06-28,1,Monday,False,26,6,June,2,2021,2021,FQ2,Summer,False,
20210629,2021-06-29,2,Tuesday,False,26,6,June,2,2021,2021,FQ2,Summer,False,
20210630,2021-06-30,3,Wednesday,False,26,6,June,2,2021,2021,FQ2,Summer,False,
20210701,2021-07-01,4,Thursday,False,26,7,July,3,2021,2021,FQ2,Summer,False,
20210702,2021-07-02,5,Friday,False,26,7,July,3,2021,2021,FQ2,Summer,False,
20210703,2021-07-03,6,Saturday,True,26,7,July,3,2021,2021,FQ2,Summer,False,
20210704,2021-07-04,7,Sunday,True,26,7,July,3,2021,2021,FQ2,Summer,True,Summer Sale
20210705,2021-07-05,1,Monday,False,27,7,July,3,2021,2021,FQ2,Summer,False,
20210706,2021-07-06,2,Tuesday,False,27,7,July,3,2021,2021,FQ2,Summer,False,
20210707,2021-07-07,3,Wednesday,False,27,7,July,3,2021,2021,FQ2,Summer,False,
20210708,2021-07-08,4,Thursday,False,27,7,July,3,2021,2021,FQ2,Summer,False,
20210709,2021-07-09,5,Friday,False,27,7,July,3,2021,2021,FQ2,Summer,False,
20210710,2021-07-10,6,Saturday,True,27,7,July,3,2021,2021,FQ2,Summer,False,
20210711,2021-07-11,7,Sunday,True,27,7,July,3,2021,2021,FQ2,Summer,False,
20210712,2021-07-12,1,Monday,False,28,7,July,3,2021,2021,FQ2,Summer,False,
20210713,2021-07-13,2,Tuesday,False,28,7,July,3,2021,2021,FQ2,Summer,False,
20210714,2021-07-14,3,Wednesday,False,28,7,July,3,2021,2021,FQ2,Summer,False,
20210715,2021-07-15,4,Thursday,False,28,7,July,3,2021,2021,FQ2,Summer,False,
20210716,2021-07-16,5,Friday,False,28,7,July,3,2021,2021,FQ2,Summer,False,
20210717,2021-07-17,6,Saturday,True,28,7,July,3,2021,2021,FQ2,Summer,False,
20210718,2021-07-18,7,Sunday,True,28,7,July,3,2021,2021,FQ2,Summer,False,
20210719,2021-07-19,1,Monday,False,29,7,July,3,2021,2021,FQ2,Summer,False,
20210720,2021-07-20,2,Tuesday,False,29,7,July,3,2021,2021,FQ2,Summer,False,
20210721,2021-07-21,3,Wednesday,False,29,7,July,3,2021,2021,FQ2,Summer,False,
20210722,2021-07-22,4,Thursday,False,29,7,July,3,2021,2021,FQ2,Summer,False,
20210723,2021-07-23,5,Friday,False,29,7,July,3,2021,2021,FQ2,Summer,False,
20210724,2021-07-24,6,Saturday,True,29,7,July,3,2021,2021,FQ2,Summer,False,
20210725,2021-07-25,7,Sunday,True,29,7,July,3,2021,2021,FQ2,Summer,False,
20210726,2021-07-26,1,Monday,False,30,7,July,3,2021,2021,FQ2,Summer,False,
20210727,2021-07-27,2,Tuesday,False,30,7,July,3,2021,2021,FQ2,Summer,False,
20210728,2021-07-28,3,Wednesday,False,30,7,July,3,2021,2021,FQ2,Summer,False,
20210729,2021-07-29,4,Thursday,False,30,7,July,3,2021,2021,FQ2,Summer,False,
20210730,2021-07-30,5,Friday,False,30,7,July,3,2021,2021,FQ2,Summer,False,
20210731,2021-07-31,6,Saturday,True,30,7,July,3,2021,2021,FQ2,Summer,False,
20210801,2021-08-01,7,Sunday,True,30,8,August,3,2021,2021,FQ3,Summer,False,
20210802,2021-08-02,1,Monday,False,31,8,August,3,2021,2021,FQ3,Summer,False,
20210803,2021-08-03,2,Tuesday,False,31,8,August,3,2021,2021,FQ3,Summer,False,
20210804,2021-08-04,3,Wednesday,False,31,8,August,3,2021,2021,FQ3,Summer,False,
